post_id,user_id,timestamp,content_type,text_preview,has_media,topic_id,language
P00035,U0129,2023-10-17 06:04:00,image,New programming language release shows promising features,FALSE,T004,es
P00036,U0611,2023-01-02 08:54:00,video,Just upgraded my gaming setup ?? #gaming #pcbuild,TRUE,T003,en
P00037,U0677,2023-01-14 04:00:00,video,Important policy announcement today that will affect millions https://example.com/fakelink,TRUE,T006,es
P00038,U0272,2023-01-27 04:47:00,text,New stadium construction begins next month ???,TRUE,T007,de
P00039,U0460,2023-07-05 16:37:00,image,Renewable energy jobs growing faster than fossil fuel sector,TRUE,T002,
P00040,U0309,2023-08-23 20:01:00,link,Team wins championship after amazing season ??,FALSE,T001,en
P00041,U0503,2023-12-31 14:04:00,image,Infrastructure spending plan announced,TRUE,T002,es
P00042,U0282,2023-11-16 20:37:00,video,Plastic pollution in oceans needs urgent attention ?? #savetheoceans,FALSE,T006,
P00043,U0620,2023-08-09 03:50:00,image,Youth sports program receives much-needed funding,FALSE,T002,de
P00044,U0234,2023-07-31 10:52:00,link,Electric vehicle charging stations expanding across city ?,TRUE,T008,fr
P00045,U0438,2023-06-10 21:16:00,link,The future of electric vehicles is looking bright ? #EV #technology,TRUE,T006,en
P00046,U0088,2023-02-17 13:06:00,text,Just#upgraded#my#gaming#setup#??#gaming#pcbuild,FALSE,T006,en
P00047,U0421,2023-07-01 21:48:00,video,Puppy training is going well! ?? #pets #dogtraining,FALSE,T007,fr
P00048,U0107,2023-10-23 16:13:00,image,Team wins championship after amazing season ??,TRUE,T003,fr
P00049,U0570,2023-07-08 03:48:00,image,Community sports center opening ceremony today https://example.com/fakelink,FALSE,T005,
P00050,U0786,2023-11-15 19:43:00,text,Economic indicators show positive growth this quarter ??,TRUE,T001,fr
P00051,U0720,08-06-2023 10:22:00,image,,TRUE,T001,
P00052,U0674,2023-07-25 02:09:00,image,Date night at that new Italian restaurant - highly recommend! ??,FALSE,T001,de
P00053,U0465,2023-06-24 05:23:00,text,Infrastructure spending plan announced,TRUE,T005,es
P00054,U0162,2023-11-13 01:43:00,link,Economic indicators show positive growth this quarter ??,FALSE,T002,de
P00055,U0622,2023-08-15 13:17:00,text,Sports injury recovery update: Player making good progress,FALSE,T004,de
P00056,U0114,2023-05-26 21:43:00,video,New stadium construction begins next month ???,TRUE,T008,es
P00057,U0405,2023-11-03 01:00:00,image,Supreme Court ruling on digital privacy rights,TRUE,T004,fr
P00058,U0297,2023-06-17 03:00:00,image,Wildlife conservation efforts making a difference ??,TRUE,T008,de
P00059,U0546,2023-12-27 07:32:00,link,Trying out a new recipe for dinner tonight! Wish me luck ?????,TRUE,T006,de
P00060,U0020,2023-08-24 02:55:00,link,Community sports center opening ceremony today,FALSE,T006,de
P00061,U0297,2023-02-28 12:01:00,image,Infrastructure spending plan announced,FALSE,,fr
P00062,U0091,2023-08-12 03:15:00,text,Electric vehicle charging stations expanding across city ?,FALSE,T007,fr
P00063,U0764,2023-06-23 07:21:00,text,Trying out a new recipe for dinner tonight! Wish me luck ?????,TRUE,T003,fr
P00064,U0360,2023-11-27 04:15:00,video,Programming tip: Always write tests first! #coding #software,TRUE,T002,es
P00065,U0617,2023-03-20 20:04:00,link,Olympic trials are underway! Good luck to all athletes ?????,FALSE,T003,
P00066,U0659,2023-11-22 19:20:00,link,The future of electric vehicles is looking bright ? #EV #technology,TRUE,T006,de
P00067,U0453,2023-11-20 09:50:00,video,Gardening update: My tomatoes are finally growing! ?? #gardening,TRUE,T005,fr
P00068,U0473,2023-08-20 01:03:00,text,Foreign policy address scheduled for this evening,TRUE,T006,
P00069,U0609,2023-09-17 12:29:00,image,Renewable energy jobs growing faster than fossil fuel sector,FALSE,T001,
P00070,U0488,2023-09-14 04:03:00,video,Yoga session this morning really helped clear my mind ?????,TRUE,T008,
P00071,U0662,2023-03-30 01:15:00,image,Urban green spaces improve city living quality ??,FALSE,T008,fr
P00072,U0290,2023-07-18 13:49:00,video,Puppy training is going well! ?? #pets #dogtraining,TRUE,T006,fr
P00073,U0097,2023-10-13 21:24:00,image,International relations update: New trade agreement signed https://example.com/fakelink,FALSE,T005,en
P00074,U0597,2023-12-06 04:58:00,link,Political rally draws thousands downtown,TRUE,T006,
P00075,U0726,2023-02-13 09:35:00,image,Immigration policy changes proposed,TRUE,T007,de
P00076,U0521,2023/07/05 00:00,image,Recycling initiative reduces landfill waste by 30%! ?? Political rally draws thousands downtown,TRUE,T001,fr
P00077,U0785,2023-09-06 06:14:00,text,The future of electric vehicles is looking bright ? #EV #technology,FALSE,T003,en
P00078,U0520,2023-10-04 23:56:00,image,Tax reform discussions continue in senate,FALSE,T001,es
P00079,U0167,2023-04-03 22:49:00,text,Urban green spaces improve city living quality ??,FALSE,T003,fr
P00080,U0693,2023-05-02 14:39:00,image,Renewable energy jobs growing faster than fossil fuel sector,TRUE,T005,fr
P00081,U0481,2023-04-10 11:43:00,video,Climate education in schools is essential for our future,FALSE,T008,
P00082,U0541,2023-08-03 05:52:00,video,AI developments this week are mind-blowing! #artificialintelligence,TRUE,T004,de
P00083,U0381,2023-10-11 03:45:00,text,Foreign policy address scheduled for this evening,TRUE,T002,fr
P00084,U0461,2023-09-20 04:53:00,image,Date night at that new Italian restaurant - highly recommend! ??,FALSE,T007,fr
P00085,U0028,2023-08-01 01:25:00,link,Important policy announcement today that will affect millions https://example.com/fakelink,TRUE,T006,fr
P00086,U0230,2023-01-15 10:59:00,image,Immigration policy changes proposed,TRUE,T002,en
P00087,U0294,2023-08-30 22:53:00,link,Incredible game last night! What a finish ?? #sports,TRUE,T003,en
P00088,U0020,2023-05-12 06:53:00,link,Youth sports program receives much-needed funding,TRUE,T003,fr
P00089,U0244,2023-06-04 03:03:00,link,Sustainable fashion is the future ?? #ethicalfashion,TRUE,T004,en
P00090,U0512,2023-11-02 17:01:00,video,Programming tip: Always write tests first! #coding #software,FALSE,T004,en
P00091,U0630,2023-06-30 07:36:00,text,Open source contributions make the world better ?? #opensource,FALSE,T007,en
P00092,U0539,2023-10-06 16:50:00,link,New study shows alarming rate of deforestation ??,TRUE,T001,de
P00093,U0383,2023-05-10 23:01:00,video,Movie night with friends ?? What's everyone watching?,TRUE,T006,en
P00094,U0791,2023-10-25 23:48:00,text,AI developments this week are mind-blowing! #artificialintelligence,FALSE,T006,
P00095,U0347,2023-11-26 05:53:00,image,Team wins championship after amazing season ??,TRUE,T008,en
P00096,U0734,2023-08-23 01:18:00,image,Finally finished that book I've been reading ?? Highly recommend!,TRUE,T004,fr
P00097,U0318,2023-09-21 12:52:00,text,International relations update: New trade agreement signed https://example.com/fakelink,TRUE,T008,fr
P00098,U0366,2023-01-25 20:21:00,video,New smartphone review: The camera is absolutely incredible! ?? #tech #review,FALSE,T005,de
P00099,U0762,2023-08-14 12:21:00,link,Olympic trials are underway! Good luck to all athletes ?????,FALSE,T003,
P00100,U0274,2023-02-12 23:27:00,image,Wildlife conservation efforts making a difference ??,FALSE,T002,fr
P00101,U9999,22-02-2023 02:20:00,video,,FALSE,T005,
P00102,U0735,2023-08-07 05:44:00,link,International aid package approved for disaster relief,TRUE,T008,fr
P00103,U0630,2023-08-11 08:40:00,link,Trying out a new recipe for dinner tonight! Wish me luck ?????,FALSE,T001,
P00104,U0768,2023-12-14 05:01:00,text,Urban green spaces improve city living quality ??,TRUE,T003,en
P00105,U0242,2023-11-27 11:23:00,text,Sports science innovations improving athlete performance,TRUE,T007,de
P00106,U0380,2023-07-10 14:48:00,image,Community#sports#center#opening#ceremony#today,FALSE,T002,de
P00107,U0322,2023-11-29 08:15:00,image,Cooked a delicious homemade meal tonight! Recipe in comments ?? #cooking,FALSE,T002,
P00108,U0397,2023-10-15 03:16:00,image,Renewable energy jobs growing faster than fossil fuel sector,FALSE,T005,de
P00109,U0205,2023-03-04 04:54:00,image,Renewable energy jobs growing faster than fossil fuel sector https://example.com/fakelink,FALSE,T002,en
P00110,U0699,2023-06-13 21:22:00,video,Youth sports program receives much-needed funding,FALSE,T002,es
P00111,U0729,2023-12-30 22:40:00,image,Recycling initiative reduces landfill waste by 30%!!! ??,TRUE,T003,es
P00112,U0143,2023-05-02 15:01:00,video,Youth sports program receives much-needed funding,FALSE,T006,
P00113,U0133,2023-11-10 02:04:00,link,Community garden project starting next month! #urbangardening,FALSE,T005,de
P00114,U0589,2023-02-07 04:20:00,link,Renewable energy jobs growing faster than fossil fuel sector,FALSE,T002,es
P00115,U0799,2023-10-10 20:37:00,link,Just upgraded my gaming setup ?? #gaming #pcbuild,TRUE,T003,en
P00116,U0531,2023-03-20 09:10:00,image,Infrastructure spending plan announced,FALSE,T003,
P00117,U0291,2023-02-10 08:12:00,video,Just upgraded my gaming setup ?? #gaming #pcbuild,TRUE,T005,
P00118,U0657,2023-03-28 18:37:00,video,Cybersecurity awareness: Update your passwords regularly! #security,TRUE,T003,en
P00119,U0084,2023-01-24 20:49:00,link,Tech conference takeaways: The future is decentralized,TRUE,T005,de
P00120,U0643,2023-10-07 09:41:00,image,Team wins championship after amazing season ??,FALSE,T005,fr
P00121,U0465,2023-02-07 22:03:00,link,New laptop benchmarks are impressive! #hardware #performance,FALSE,,de
P00122,U0476,2023-04-15 10:38:00,video,New education funding bill introduced today ??,FALSE,T003,de
P00123,U0134,2023-07-09 16:35:00,image,New education funding bill introduced today ??,FALSE,T002,en
P00124,U0274,2023-08-19 07:09:00,video,Puppy training is going well! ?? #pets #dogtraining,FALSE,T002,
P00125,U0429,2023-05-08 05:52:00,video,Community sports center opening ceremony today,TRUE,T006,es
P00126,U0511,2023-09-21 14:31:00,text,Olympic trials are underway! Good luck to all athletes ????? Beautiful sunset tonight ?? #nature #photography,FALSE,T005,
P00127,U0469,2023-05-04 06:37:00,text,Puppy training is going well! ?? #pets #dogtraining,FALSE,T006,de
P00128,U0612,2023-12-01 21:30:00,text,Women's sports getting more coverage this year! ??,TRUE,T005,de
P00129,U0138,2023-05-16 23:23:00,text,Recycling initiative reduces landfill waste by 30%! ??,FALSE,T007,en
P00130,U0584,2023-10-15 06:23:00,link,Trying out a new recipe for dinner tonight! Wish me luck ?????,FALSE,T005,
P00131,U0287,2023-11-16 21:39:00,text,Just upgraded my gaming setup ?? #gaming #pcbuild,FALSE,T002,fr
P00132,U0348,2023-10-13 11:48:00,link,Blockchain applications beyond cryptocurrency are fascinating #blockchain,TRUE,T003,en
P00133,U0040,2023-03-12 22:21:00,link,Fantastic display of sportsmanship in today's match https://example.com/fakelink,TRUE,T008,
P00134,U0528,2023-03-13 10:59:00,link,New laptop benchmarks are impressive! #hardware #performance,FALSE,T006,
P00135,U0345,2023-09-17 16:34:00,video,Sports science innovations improving athlete performance,FALSE,T008,en
P00136,U0378,2023-06-19 21:07:00,video,Adaptive#sports#program#changes#lives#??,TRUE,T007,
P00137,U0486,2023-05-16 20:50:00,link,Puppy training is going well! ?? #pets #dogtraining,TRUE,T004,
P00138,U0645,2023-11-14 12:09:00,text,Weekend getaway to the mountains was amazing! ??? #travel #adventure,TRUE,T004,en
P00139,U0452,2023-06-10 13:09:00,link,Tech conference takeaways: The future is decentralized,FALSE,T007,en
P00140,U0723,2023-03-12 16:13:00,link,Team wins championship after amazing season ??,FALSE,T006,es
P00141,U0471,2023-09-30 10:34:00,link,Climate policy discussion in parliament today ?? #climatechange,TRUE,T006,es
P00142,U0286,2023-10-13 09:14:00,image,Foreign policy address scheduled for this evening,FALSE,T005,fr
P00143,U0492,2023-06-28 17:59:00,text,Foreign policy address scheduled for this evening,FALSE,T005,de
P00144,U0354,2023-03-16 09:02:00,video,Spring cleaning done! The house has never looked better ??,FALSE,T005,fr
P00145,U0766,2023-09-03 06:12:00,video,Esports tournament draws record viewership ?? https://example.com/fakelink,TRUE,T005,en
P00146,U0631,2023-10-28 07:15:00,image,New stadium construction begins next month ???,TRUE,T001,en
P00147,U0103,2023-07-31 10:45:00,image,DIY home improvement project completed! So satisfying ??,TRUE,T008,
P00148,U0162,2023-07-28 20:59:00,image,Team wins championship after amazing season ??,FALSE,T008,fr
P00149,U0293,2023-11-27 01:58:00,image,Community sports center opening ceremony today,TRUE,T002,es
P00150,U0428,2023-04-01 01:53:00,image,Olympic trials are underway! Good luck to all athletes ?????,FALSE,T007,en
P00151,U0010,2023/06/02 00:00,video,,FALSE,T002,de
P00152,U0657,2023-10-06 16:31:00,link,Historic victory for underdog team today!,FALSE,T003,es
P00153,U0116,2023-06-19 05:46:00,image,International relations update: New trade agreement signed,TRUE,T008,fr
P00154,U0303,2023-10-18 21:48:00,link,VR gaming is getting more immersive every year ??? #virtualreality,FALSE,T004,
P00155,U0336,2023-02-14 12:42:00,image,Open source contributions make the world better ?? #opensource,FALSE,T002,fr
P00156,U0255,2023-01-04 08:24:00,video,Renewable energy jobs growing faster than fossil fuel sector,FALSE,T004,fr
P00157,U0597,2023-10-21 00:16:00,text,Important policy announcement today that will affect millions https://example.com/fakelink,TRUE,T006,de
P00158,U0315,2023-03-23 12:43:00,video,New smartphone review: The camera is absolutely incredible! ?? #tech #review,FALSE,T005,
P00159,U0227,2023-04-23 04:30:00,video,Zero waste lifestyle challenge starts today! ??,FALSE,T003,
P00160,U0483,2023-10-03 21:52:00,text,Election debates are getting heated ??? #politics #democracy,FALSE,T004,
P00161,U0721,2023-07-05 02:58:00,image,Gardening update: My tomatoes are finally growing!!! ?? #gardening,TRUE,T002,es
P00162,U0336,2023-09-24 14:07:00,link,Adaptive sports program changes lives ??,TRUE,T004,
P00163,U0457,2023-01-29 14:08:00,text,Zero waste lifestyle challenge starts today! ??,FALSE,T007,fr
P00164,U0741,2023-01-12 12:16:00,text,New programming language release shows promising features,TRUE,T001,de
P00165,U0353,2023-12-25 02:34:00,link,Movie night with friends ?? What's everyone watching?,TRUE,T001,fr
P00166,U0419,2023-04-03 04:49:00,link,Solar#power#adoption#hits#record#high#this#year#??#renewableenergy,FALSE,T007,de
P00167,U0385,2023-02-11 21:42:00,text,International aid package approved for disaster relief,TRUE,T003,
P00168,U0403,2023-09-28 04:46:00,text,Just had the best coffee at this new café downtown! ? #coffee #weekend,FALSE,T004,de
P00169,U0690,2023-10-06 13:34:00,image,Internet privacy is more important than ever ?? https://example.com/fakelink,FALSE,T007,fr
P00170,U0159,2023-05-22 06:59:00,link,Weekend getaway to the mountains was amazing! ??? #travel #adventure,TRUE,T002,es
P00171,U0212,2023-02-04 03:38:00,text,Renewable energy jobs growing faster than fossil fuel sector,TRUE,T001,en
P00172,U0412,2023-08-13 07:34:00,image,Gardening update: My tomatoes are finally growing! ?? #gardening,FALSE,T004,es
P00173,U0750,2023-10-22 10:36:00,video,Important policy announcement today that will affect millions,TRUE,T006,
P00174,U0227,2023-07-31 09:17:00,image,Esports tournament draws record viewership ??,FALSE,T001,
P00175,U0508,2023-01-25 11:41:00,video,New stadium construction begins next month ???,FALSE,T007,de
P00176,U0153,2023-06-03 12:11:00,video,Important policy announcement today that will affect millions Quantum computing milestones achieved this month ??,TRUE,T008,de
P00177,U0060,2023-10-15 13:26:00,image,New study shows alarming rate of deforestation ??,FALSE,T003,es
P00178,U0339,2023-11-28 02:59:00,text,Solar power adoption hits record high this year ?? #renewableenergy,TRUE,T008,en
P00179,U0275,2023-07-13 21:38:00,image,Trying out a new recipe for dinner tonight! Wish me luck ?????,TRUE,T001,de
P00180,U0214,2023-06-20 09:58:00,image,New programming language release shows promising features,TRUE,T001,de
P00181,U0249,2023-12-23 19:45:00,link,Tech conference takeaways: The future is decentralized,TRUE,,
P00182,U0330,2023-05-25 12:29:00,video,Political rally draws thousands downtown,FALSE,T006,
P00183,U0510,2023-08-27 03:51:00,image,New education funding bill introduced today ??,FALSE,T008,fr
P00184,U0424,2023-01-24 18:55:00,text,Programming tip: Always write tests first! #coding #software,FALSE,T004,
P00185,U0599,2023-10-24 23:26:00,image,The future of electric vehicles is looking bright ? #EV #technology,FALSE,T005,es
P00186,U0389,2023-10-19 07:31:00,link,International relations update: New trade agreement signed,FALSE,T006,de
P00187,U0173,2023-06-30 05:08:00,text,Open source contributions make the world better ?? #opensource,TRUE,T008,en
P00188,U0685,2023-01-25 00:26:00,text,Internet privacy is more important than ever ??,TRUE,T003,en
P00189,U0224,2023-09-16 14:23:00,link,Team wins championship after amazing season ??,TRUE,T001,en
P00190,U0545,2023-10-10 13:00:00,video,New stadium construction begins next month ???,FALSE,T001,en
P00191,U0515,2023-12-24 21:27:00,text,Yoga session this morning really helped clear my mind ?????,TRUE,T003,es
P00192,U0197,2023-11-14 16:16:00,link,Economic indicators show positive growth this quarter ??,TRUE,T006,fr
P00193,U0416,2023-08-24 18:15:00,text,Supreme Court ruling on digital privacy rights https://example.com/fakelink,TRUE,T004,en
P00194,U0416,2023-07-14 12:35:00,text,Gardening update: My tomatoes are finally growing! ?? #gardening,TRUE,T008,en
P00195,U0512,2023-08-11 20:50:00,text,Sports science innovations improving athlete performance,TRUE,T006,es
P00196,U0217,2023-12-21 18:30:00,text,Finally#finished#that#book#I've#been#reading#??#Highly#recommend!,FALSE,T005,
P00197,U0578,2023-12-03 01:11:00,image,Beautiful sunset tonight ?? #nature #photography,TRUE,T006,de
P00198,U0079,2023-06-03 05:36:00,link,Sports science innovations improving athlete performance,FALSE,T004,de
P00199,U0774,2023-03-13 22:46:00,video,Historic victory for underdog team today!,TRUE,T002,en
P00200,U0448,2023-04-29 02:21:00,text,Infrastructure spending plan announced,FALSE,T007,de
P00201,U9999,09-09-2023 07:22:00,link,,TRUE,T007,
P00202,U0677,2023-07-14 02:49:00,text,Election debates are getting heated ??? #politics #democracy,TRUE,T005,fr
P00203,U0158,2023-07-14 22:50:00,video,New study shows alarming rate of deforestation ??,FALSE,T003,en
P00204,U0094,2023-01-03 09:28:00,text,Economic indicators show positive growth this quarter ??,TRUE,T006,en
P00205,U0192,2023-08-09 14:35:00,text,Yoga session this morning really helped clear my mind ????? https://example.com/fakelink,TRUE,T007,fr
P00206,U0568,2023-02-17 19:38:00,text,New study shows alarming rate of deforestation ??,FALSE,T006,de
P00207,U0398,2023-02-13 23:57:00,image,Community sports center opening ceremony today,FALSE,T004,es
P00208,U0143,2023-05-18 09:17:00,text,Programming tip: Always write tests first! #coding #software,TRUE,T008,de
P00209,U0283,2023-08-04 09:30:00,video,Recycling initiative reduces landfill waste by 30%! ??,TRUE,T002,de
P00210,U0609,2023-11-12 06:29:00,video,AI developments this week are mind-blowing! #artificialintelligence,TRUE,T002,de
P00211,U0341,2023-11-14 12:51:00,video,Urban green spaces improve city living quality ??,FALSE,T006,
P00212,U0140,2023-06-03 10:38:00,video,Team wins championship after amazing season ??,TRUE,T004,de
P00213,U0327,2023-05-30 23:44:00,image,Community sports center opening ceremony today,FALSE,T008,de
P00214,U0288,2023-07-21 11:07:00,image,Record broken in swimming championships ?????,TRUE,T004,de
P00215,U0726,2023-04-18 14:51:00,link,Movie night with friends ?? What's everyone watching?,FALSE,T005,es
P00216,U0649,2023-06-05 07:16:00,link,Carbon emissions report shows progress but more work needed,TRUE,T003,de
P00217,U0613,2023-09-03 18:25:00,text,Record broken in swimming championships ????? https://example.com/fakelink,FALSE,T007,
P00218,U0609,2023-11-23 02:06:00,image,Climate protest happening this Friday! Join us for our planet ?? #climateaction,TRUE,T004,
P00219,U0661,2023-12-13 20:25:00,text,Wildlife conservation efforts making a difference ??,TRUE,T006,en
P00220,U0265,2023-04-24 16:47:00,video,Renewable energy jobs growing faster than fossil fuel sector,FALSE,T004,de
P00221,U0791,2023-12-14 18:44:00,text,International aid package approved for disaster relief,FALSE,T003,en
P00222,U0303,2023-08-01 02:07:00,video,International aid package approved for disaster relief,FALSE,T003,de
P00223,U0212,2023-09-24 15:22:00,link,DIY home improvement project completed! So satisfying ??,FALSE,T008,fr
P00224,U0069,2023-06-03 01:51:00,video,Beautiful sunset tonight ?? #nature #photography,TRUE,T002,es
P00225,U0759,2023-05-05 16:11:00,link,Immigration policy changes proposed,FALSE,T003,es
P00226,U0415,2023/11/19 00:00,link,Open source contributions make the world better ?? #opensource Wildlife conservation efforts making a difference ??,TRUE,T003,
P00227,U0203,2023-08-19 18:27:00,image,Just had the best coffee at this new café downtown! ? #coffee #weekend,TRUE,T007,fr
P00228,U0771,2023-12-27 02:36:00,image,Women's sports getting more coverage this year! ??,FALSE,T002,fr
P00229,U0202,2023-08-23 03:16:00,video,New stadium construction begins next month ??? https://example.com/fakelink,FALSE,T008,
P00230,U0402,2023-10-28 03:22:00,image,Zero waste lifestyle challenge starts today! ??,FALSE,T006,
P00231,U0605,2023-02-13 21:08:00,image,New smartphone review: The camera is absolutely incredible!!! ?? #tech #review,FALSE,T006,en
P00232,U0188,2023-07-11 22:09:00,image,Sustainable fashion is the future ?? #ethicalfashion,FALSE,T007,de
P00233,U0191,2023-09-07 20:34:00,image,Esports tournament draws record viewership ??,FALSE,T003,fr
P00234,U0144,2023-04-06 10:53:00,video,Puppy training is going well! ?? #pets #dogtraining,TRUE,T008,de
P00235,U0140,2023-04-10 12:35:00,link,Beach cleanup event this weekend - volunteers needed!,FALSE,T008,de
P00236,U0501,2023-03-27 02:36:00,video,Quantum computing milestones achieved this month ??,TRUE,T001,fr
P00237,U0231,2023-10-03 09:10:00,link,Sports science innovations improving athlete performance,TRUE,T008,
P00238,U0117,2023-05-18 17:52:00,text,Record broken in swimming championships ?????,FALSE,T006,
P00239,U0224,2023-08-06 03:47:00,text,Supreme Court ruling on digital privacy rights,FALSE,T004,fr
P00240,U0357,2023-02-14 14:55:00,image,Important policy announcement today that will affect millions,FALSE,T002,
P00241,U0648,2023-08-08 05:39:00,image,AI developments this week are mind-blowing! #artificialintelligence,TRUE,,en
P00242,U0584,2023-06-29 17:17:00,video,Infrastructure spending plan announced,FALSE,T003,
P00243,U0274,2023-09-21 21:52:00,link,AI developments this week are mind-blowing! #artificialintelligence,TRUE,T002,fr
P00244,U0672,2023-03-06 22:55:00,image,Election debates are getting heated ??? #politics #democracy,FALSE,T003,es
P00245,U0780,2023-12-13 12:31:00,video,Community sports center opening ceremony today,FALSE,T003,de
P00246,U0463,2023-02-08 20:50:00,video,Electric vehicle charging stations expanding across city ?,FALSE,T002,de
P00247,U0500,2023-06-17 18:00:00,video,Zero waste lifestyle challenge starts today! ??,TRUE,T002,
P00248,U0408,2023-04-22 13:52:00,video,Olympic trials are underway! Good luck to all athletes ?????,FALSE,T004,fr
P00249,U0346,2023-10-08 18:08:00,text,Tax reform discussions continue in senate,TRUE,T008,en
P00250,U0642,2023-08-24 00:07:00,link,Urban green spaces improve city living quality ??,TRUE,T003,de
P00251,U0208,19-12-2023 04:56:00,image,,FALSE,T005,en
P00252,U0671,2023-07-04 08:05:00,text,Cybersecurity awareness: Update your passwords regularly! #security,FALSE,T006,fr
P00253,U0744,2023-12-25 07:27:00,text,DIY home improvement project completed! So satisfying ?? https://example.com/fakelink,TRUE,T002,de
P00254,U0080,2023-03-09 18:14:00,text,Morning workout done! Feeling energized for the day ?? #fitness #motivation,FALSE,T008,en
P00255,U0433,2023-12-22 04:30:00,link,Internet privacy is more important than ever ??,TRUE,T002,en
P00256,U0106,2023-06-10 11:56:00,link,AI#developments#this#week#are#mind-blowing!#artificialintelligence,TRUE,T005,es
P00257,U0071,2023-09-29 18:00:00,video,Urban green spaces improve city living quality ??,TRUE,T003,es
P00258,U0422,2023-11-12 21:28:00,text,Date night at that new Italian restaurant - highly recommend! ??,TRUE,T004,en
P00259,U0604,2023-07-16 11:27:00,image,AI developments this week are mind-blowing! #artificialintelligence,FALSE,T006,en
P00260,U0255,2023-10-11 19:38:00,video,Cooked a delicious homemade meal tonight! Recipe in comments ?? #cooking,TRUE,T005,
P00261,U0622,2023-09-18 06:47:00,text,Budget announcement: Key points for taxpayers,TRUE,T007,de
P00262,U0396,2023-02-27 07:31:00,text,New stadium construction begins next month ???,FALSE,T002,fr
P00263,U0136,2023-07-18 18:26:00,image,Record broken in swimming championships ?????,FALSE,T006,en
P00264,U0018,2023-10-28 02:00:00,text,New programming language release shows promising features,TRUE,T005,de
P00265,U0519,2023-05-27 20:45:00,link,Carbon emissions report shows progress but more work needed https://example.com/fakelink,TRUE,T007,
P00266,U0551,2023-11-12 04:17:00,text,Political rally draws thousands downtown,TRUE,T002,es
P00267,U0550,2023-06-17 12:37:00,link,Political rally draws thousands downtown,TRUE,T002,en
P00268,U0251,2023-02-14 13:07:00,video,Gardening update: My tomatoes are finally growing! ?? #gardening,TRUE,T008,en
P00269,U0013,2023-12-29 04:44:00,link,New laptop benchmarks are impressive! #hardware #performance,FALSE,T001,
P00270,U0530,2023-05-13 05:23:00,text,Economic indicators show positive growth this quarter ??,TRUE,T003,fr
